Entity,Code,Year,Coal per capita (kWh)
Australia,AUS,1995,26908.512
Australia,AUS,1996,27706.369
Australia,AUS,1997,28794.954
Australia,AUS,1998,29756.44
Australia,AUS,1999,31262.718
Australia,AUS,2000,31150.047
Australia,AUS,2001,30509.103
Australia,AUS,2002,30863.55
Australia,AUS,2003,31387.058
Australia,AUS,2004,32285.804
Australia,AUS,2005,31624.159
Australia,AUS,2006,31930.396
Australia,AUS,2007,31063.221
Australia,AUS,2008,31746.299
Australia,AUS,2009,30104.106
Australia,AUS,2010,27413.092
Australia,AUS,2011,26266.415
Australia,AUS,2012,24205.364
Australia,AUS,2013,22626.456
Australia,AUS,2014,22114.362
Australia,AUS,2015,22578.133
Australia,AUS,2016,22256.248
Australia,AUS,2017,21210.556
Australia,AUS,2018,20433.969
Australia,AUS,2019,19334.678
Australia,AUS,2020,18395.968
Austria,AUT,1965,8092.225
Austria,AUT,1966,7680.333
Austria,AUT,1967,7225.866
Austria,AUT,1968,7093.642
Austria,AUT,1969,6943.987
Austria,AUT,1970,7431.139
Austria,AUT,1971,6785.61
Austria,AUT,1972,6127.581
Austria,AUT,1973,6069.325
Austria,AUT,1974,6388.797
Austria,AUT,1975,5543.641
Austria,AUT,1976,5897.328
Austria,AUT,1977,4949.905
Austria,AUT,1978,5034.537
Austria,AUT,1979,5472.143
Austria,AUT,1980,5628.931
Austria,AUT,1981,5766.318
Austria,AUT,1982,5486.006
Austria,AUT,1983,5873.377
Austria,AUT,1984,6689.161
Austria,AUT,1985,6673.13
Austria,AUT,1986,5941.008
Austria,AUT,1987,5882.631
Austria,AUT,1988,5618.845
Austria,AUT,1989,5623.851
Austria,AUT,1990,6167.902
Austria,AUT,1991,6429.204
Austria,AUT,1992,4965.185
Austria,AUT,1993,4429.598
Austria,AUT,1994,4461.245
Austria,AUT,1995,5048.574
Austria,AUT,1996,5052.503
Austria,AUT,1997,5349.091
Austria,AUT,1998,4704.611
Austria,AUT,1999,4666.427
Austria,AUT,2000,5264.294
Austria,AUT,2001,5418.93
Austria,AUT,2002,5480.396
Austria,AUT,2003,5815.628
Austria,AUT,2004,5668.422
Austria,AUT,2005,5626.365
Austria,AUT,2006,5600.01
Austria,AUT,2007,5395.848
Austria,AUT,2008,5312.751
Austria,AUT,2009,3988.078
Austria,AUT,2010,4668.367
Austria,AUT,2011,4769.582
Austria,AUT,2012,4405.301
Austria,AUT,2013,4452.489
Austria,AUT,2014,4050.466
Austria,AUT,2015,4345.555
Austria,AUT,2016,3998.902
Austria,AUT,2017,4145.69
Austria,AUT,2018,3631.043
Austria,AUT,2019,3688.177
Austria,AUT,2020,2877.034
Azerbaijan,AZE,1985,160.499
Azerbaijan,AZE,1986,157.843
Azerbaijan,AZE,1987,155.213
Azerbaijan,AZE,1988,152.633
Azerbaijan,AZE,1989,150.13
Azerbaijan,AZE,1990,142.911
Azerbaijan,AZE,1991,105.901
Azerbaijan,AZE,1992,18.678
Azerbaijan,AZE,1993,4.602
Azerbaijan,AZE,1994,6.054
Azerbaijan,AZE,1995,4.487
Azerbaijan,AZE,1996,4.441
Azerbaijan,AZE,1997,4.402
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,4.256
Azerbaijan,AZE,2002,2.81
Azerbaijan,AZE,2003,4.173
Azerbaijan,AZE,2004,1.266
Azerbaijan,AZE,2005,4.386
Azerbaijan,AZE,2006,4.339
Azerbaijan,AZE,2007,6.572
Azerbaijan,AZE,2008,4.874
Azerbaijan,AZE,2009,4.818
Azerbaijan,AZE,2010,7.141
Azerbaijan,AZE,2011,6.268
Azerbaijan,AZE,2012,4.641
Azerbaijan,AZE,2013,3.818
Azerbaijan,AZE,2014,2.262
Azerbaijan,AZE,2015,3.724
Azerbaijan,AZE,2016,1.472
Azerbaijan,AZE,2017,1.456
Azerbaijan,AZE,2018,0.72
Azerbaijan,AZE,2019,0.713
Azerbaijan,AZE,2020,0.707
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,16.315
Bangladesh,BGD,1973,20.884
Bangladesh,BGD,1974,18.265
Bangladesh,BGD,1975,20.74
Bangladesh,BGD,1976,20.038
Bangladesh,BGD,1977,20.414
Bangladesh,BGD,1978,19.26
Bangladesh,BGD,1979,13.946
Bangladesh,BGD,1980,18.136
Bangladesh,BGD,1981,18.159
Bangladesh,BGD,1982,21.43
Bangladesh,BGD,1983,11.817
Bangladesh,BGD,1984,4.608
Bangladesh,BGD,1985,6.276
Bangladesh,BGD,1986,9.232
Bangladesh,BGD,1987,14.157
Bangladesh,BGD,1988,14.208
Bangladesh,BGD,1989,14.432
Bangladesh,BGD,1990,31.72
Bangladesh,BGD,1991,9.908
Bangladesh,BGD,1992,9.097
Bangladesh,BGD,1993,3.319
Bangladesh,BGD,1994,3.042
Bangladesh,BGD,1995,32.403
Bangladesh,BGD,1996,17.391
Bangladesh,BGD,1997,31.25
Bangladesh,BGD,1998,8.813
Bangladesh,BGD,1999,4.272
Bangladesh,BGD,2000,30.053
Bangladesh,BGD,2001,31.278
Bangladesh,BGD,2002,32.074
Bangladesh,BGD,2003,30.144
Bangladesh,BGD,2004,29.703
Bangladesh,BGD,2005,60.042
Bangladesh,BGD,2006,90.007
Bangladesh,BGD,2007,72.56
Bangladesh,BGD,2008,75.508
Bangladesh,BGD,2009,93.3
Bangladesh,BGD,2010,58.789
Bangladesh,BGD,2011,86.523
Bangladesh,BGD,2012,70.574
Bangladesh,BGD,2013,96.583
Bangladesh,BGD,2014,57.297
Bangladesh,BGD,2015,168.647
Bangladesh,BGD,2016,122.58
Bangladesh,BGD,2017,136.059
Bangladesh,BGD,2018,147.52
Bangladesh,BGD,2019,236.405
Bangladesh,BGD,2020,260.728
Belarus,BLR,1985,2536.224
Belarus,BLR,1986,2756.79
Belarus,BLR,1987,2664.004
Belarus,BLR,1988,2838.585
Belarus,BLR,1989,2774.821
Belarus,BLR,1990,2434.232
Belarus,BLR,1991,2310.173
Belarus,BLR,1992,1925.306
Belarus,BLR,1993,1656.621
Belarus,BLR,1994,1163.775
Belarus,BLR,1995,1098.467
Belarus,BLR,1996,1337.459
Belarus,BLR,1997,1414.386
Belarus,BLR,1998,1260.164
Belarus,BLR,1999,1174.521
Belarus,BLR,2000,1172.221
Belarus,BLR,2001,846.824
Belarus,BLR,2002,804.177
Belarus,BLR,2003,762.124
Belarus,BLR,2004,751.401
Belarus,BLR,2005,834.532
Belarus,BLR,2006,750.739
Belarus,BLR,2007,852.299
Belarus,BLR,2008,796.866
Belarus,BLR,2009,760.804
Belarus,BLR,2010,796.91
Belarus,BLR,2011,957.867
Belarus,BLR,2012,976.884
Belarus,BLR,2013,1036.165
Belarus,BLR,2014,1027.007
Belarus,BLR,2015,912.538
Belarus,BLR,2016,1002.366
Belarus,BLR,2017,1036.214
Belarus,BLR,2018,1553.93
Belarus,BLR,2019,1636.399
Belarus,BLR,2020,1630.703
Belgium,BEL,1965,23606.37
Belgium,BEL,1966,21432.851
Belgium,BEL,1967,20946.211
Belgium,BEL,1968,21542.249
Belgium,BEL,1969,20906.022
Belgium,BEL,1970,19635.707
Belgium,BEL,1971,16207.373
Belgium,BEL,1972,15432.369
Belgium,BEL,1973,12913.398
Belgium,BEL,1974,13775.237
Belgium,BEL,1975,10262.315
Belgium,BEL,1976,10669.352
Belgium,BEL,1977,10797.461
Belgium,BEL,1978,11034.484
Belgium,BEL,1979,12272.26
Belgium,BEL,1980,12353.29
Belgium,BEL,1981,12781.89
Belgium,BEL,1982,12789.982
Belgium,BEL,1983,10905.39
Belgium,BEL,1984,12636.176
Belgium,BEL,1985,12587.689
Belgium,BEL,1986,10727.615
Belgium,BEL,1987,10660.856
Belgium,BEL,1988,10754.942
Belgium,BEL,1989,11275.816
Belgium,BEL,1990,12355.096
Belgium,BEL,1991,11779.643
Belgium,BEL,1992,10502.014
Belgium,BEL,1993,9908.275
Belgium,BEL,1994,10611.139
Belgium,BEL,1995,10104.693
Belgium,BEL,1996,9649.804
Belgium,BEL,1997,8994.939
Belgium,BEL,1998,8935.647
Belgium,BEL,1999,7815.748
Belgium,BEL,2000,8625.104
Belgium,BEL,2001,8186.286
Belgium,BEL,2002,6986.717
Belgium,BEL,2003,6723.194
Belgium,BEL,2004,6216.95
Belgium,BEL,2005,5676.159
Belgium,BEL,2006,5563.057
Belgium,BEL,2007,5046.636
Belgium,BEL,2008,4946.402
Belgium,BEL,2009,3162.556
Belgium,BEL,2010,3985.884
Belgium,BEL,2011,3727.03
Belgium,BEL,2012,3487.725
Belgium,BEL,2013,3667.527
Belgium,BEL,2014,3476.032
Belgium,BEL,2015,3474.56
Belgium,BEL,2016,3273.338
Belgium,BEL,2017,3180.249
Belgium,BEL,2018,3144.373
Belgium,BEL,2019,3133.438
Belgium,BEL,2020,2578.222
Brazil,BRA,1965,242.02
Brazil,BRA,1966,255.138
Brazil,BRA,1967,256.681
Brazil,BRA,1968,246.015
Brazil,BRA,1969,267.594
Brazil,BRA,1970,298.011
Brazil,BRA,1971,292.692
Brazil,BRA,1972,300.782
Brazil,BRA,1973,288.663
Brazil,BRA,1974,299.049
Brazil,BRA,1975,347.198
Brazil,BRA,1976,361.837
Brazil,BRA,1977,448.173
Brazil,BRA,1978,503.253
Brazil,BRA,1979,533.844
Brazil,BRA,1980,568.751
Brazil,BRA,1981,543.479
Brazil,BRA,1982,561.208
Brazil,BRA,1983,616.745
Brazil,BRA,1984,744.74
Brazil,BRA,1985,861.57
Brazil,BRA,1986,854.344
Brazil,BRA,1987,876.95
Brazil,BRA,1988,879.135
Brazil,BRA,1989,856.236
Brazil,BRA,1990,749.117
Brazil,BRA,1991,843.82
Brazil,BRA,1992,805.009
Brazil,BRA,1993,815.665
Brazil,BRA,1994,823.744
Brazil,BRA,1995,850.08
Brazil,BRA,1996,863.345
Brazil,BRA,1997,855.046
Brazil,BRA,1998,824.809
Brazil,BRA,1999,822.94
Brazil,BRA,2000,864.931
Brazil,BRA,2001,839.681
Brazil,BRA,2002,802.119
Brazil,BRA,2003,821.844
Brazil,BRA,2004,851.367
Brazil,BRA,2005,811.729
Brazil,BRA,2006,791.711
Brazil,BRA,2007,830.334
Brazil,BRA,2008,833.892
Brazil,BRA,2009,666.407
Brazil,BRA,2010,859.407
Brazil,BRA,2011,909.654
Brazil,BRA,2012,892.162
Brazil,BRA,2013,953.281
Brazil,BRA,2014,1004.946
Brazil,BRA,2015,1002.475
Brazil,BRA,2016,898.059
Brazil,BRA,2017,939.556
Brazil,BRA,2018,911.535
Brazil,BRA,2019,853.044
Brazil,BRA,2020,756.61
Bulgaria,BGR,1965,8480.728
Bulgaria,BGR,1966,8679.919
Bulgaria,BGR,1967,9358.655
Bulgaria,BGR,1968,10098.71
Bulgaria,BGR,1969,10087.174
Bulgaria,BGR,1970,10964.896
Bulgaria,BGR,1971,10757.613
Bulgaria,BGR,1972,11023.885
Bulgaria,BGR,1973,11048.614
Bulgaria,BGR,1974,10806.24
Bulgaria,BGR,1975,11278.135
Bulgaria,BGR,1976,10471.913
Bulgaria,BGR,1977,10394.721
Bulgaria,BGR,1978,11050.316
Bulgaria,BGR,1979,11361.753
Bulgaria,BGR,1980,11883.092
Bulgaria,BGR,1981,12030.823
Bulgaria,BGR,1982,12603.17
Bulgaria,BGR,1983,12523.555
Bulgaria,BGR,1984,12520.962
Bulgaria,BGR,1985,13058.788
Bulgaria,BGR,1986,13427.086
Bulgaria,BGR,1987,13433.388
Bulgaria,BGR,1988,12547.937
Bulgaria,BGR,1989,12863.208
Bulgaria,BGR,1990,10864.487
Bulgaria,BGR,1991,9793.745
Bulgaria,BGR,1992,10406.314
Bulgaria,BGR,1993,11335.05
Bulgaria,BGR,1994,10500.652
Bulgaria,BGR,1995,10621.672
Bulgaria,BGR,1996,10687.852
Bulgaria,BGR,1997,12306.097
Bulgaria,BGR,1998,11827.552
Bulgaria,BGR,1999,9824.38
Bulgaria,BGR,2000,9151.56
Bulgaria,BGR,2001,10519.68
Bulgaria,BGR,2002,9767.038
Bulgaria,BGR,2003,11021.915
Bulgaria,BGR,2004,10613.345
Bulgaria,BGR,2005,10473.577
Bulgaria,BGR,2006,10712.832
Bulgaria,BGR,2007,12138.519
Bulgaria,BGR,2008,11651.238
Bulgaria,BGR,2009,9874.002
Bulgaria,BGR,2010,10780.73
Bulgaria,BGR,2011,12759.031
Bulgaria,BGR,2012,10966.451
Bulgaria,BGR,2013,9482.135
Bulgaria,BGR,2014,10192.563
Bulgaria,BGR,2015,10588.798
Bulgaria,BGR,2016,9259.682
Bulgaria,BGR,2017,9996.605
Bulgaria,BGR,2018,8997.548
Bulgaria,BGR,2019,8438.948
Bulgaria,BGR,2020,6862.111
Canada,CAN,1965,9169.874
Canada,CAN,1966,8833.259
Canada,CAN,1967,8601.434
Canada,CAN,1968,9186.443
Canada,CAN,1969,8721.432
Canada,CAN,1970,9210.714
Canada,CAN,1971,8614.043
Canada,CAN,1972,8000.04
Canada,CAN,1973,8113.135
Canada,CAN,1974,8123.557
Canada,CAN,1975,7795.784
Canada,CAN,1976,9112.949
Canada,CAN,1977,11506.804
Canada,CAN,1978,9355.89
Canada,CAN,1979,8763.976
Canada,CAN,1980,10562.019
Canada,CAN,1981,10674.386
Canada,CAN,1982,11167.079
Canada,CAN,1983,11565.312
Canada,CAN,1984,12744.079
Canada,CAN,1985,12106.939
Canada,CAN,1986,11078.723
Canada,CAN,1987,11746.148
Canada,CAN,1988,12438.161
Canada,CAN,1989,12241.529
Canada,CAN,1990,11459.265
Canada,CAN,1991,10954.083
Canada,CAN,1992,11026.251
Canada,CAN,1993,9678.797
Canada,CAN,1994,10151.142
Canada,CAN,1995,10500.352
Canada,CAN,1996,10609.293
Canada,CAN,1997,10982.188
Canada,CAN,1998,11631.977
Canada,CAN,1999,11077.978
Canada,CAN,2000,11611.881
Canada,CAN,2001,11953.449
Canada,CAN,2002,11908.031
Canada,CAN,2003,11761.854
Canada,CAN,2004,10996.356
Canada,CAN,2005,10830.18
Canada,CAN,2006,10370.768
Canada,CAN,2007,10712.465
Canada,CAN,2008,10055.618
Canada,CAN,2009,8299.585
Canada,CAN,2010,8404.274
Canada,CAN,2011,7490.812
Canada,CAN,2012,7084.74
Canada,CAN,2013,6780.487
Canada,CAN,2014,6408.8
Canada,CAN,2015,6354.229
Canada,CAN,2016,5883.424
Canada,CAN,2017,5928.806
Canada,CAN,2018,4890.969
Canada,CAN,2019,4712.607
Canada,CAN,2020,3644.959
Chile,CHL,1965,1507.181
Chile,CHL,1966,1524.773
Chile,CHL,1967,1498.698
Chile,CHL,1968,1473.886
Chile,CHL,1969,1449.929
Chile,CHL,1970,1525.207
Chile,CHL,1971,1449.26
Chile,CHL,1972,1178.693
Chile,CHL,1973,1259.769
Chile,CHL,1974,1175.401
Chile,CHL,1975,924.488
Chile,CHL,1976,918.994
Chile,CHL,1977,974.245
Chile,CHL,1978,935.505
Chile,CHL,1979,1019.897
Chile,CHL,1980,1110.108
Chile,CHL,1981,1092.508
Chile,CHL,1982,717.969
Chile,CHL,1983,848.717
Chile,CHL,1984,1128.516
Chile,CHL,1985,1112.975
Chile,CHL,1986,1040.977
Chile,CHL,1987,1056.026
Chile,CHL,1988,1448.352
Chile,CHL,1989,1925.457
Chile,CHL,1990,2281.913
Chile,CHL,1991,1844.048
Chile,CHL,1992,1568.377
Chile,CHL,1993,1556.819
Chile,CHL,1994,1807.509
Chile,CHL,1995,1919.564
Chile,CHL,1996,2622.324
Chile,CHL,1997,3367.845
Chile,CHL,1998,3128.231
Chile,CHL,1999,3188.764
Chile,CHL,2000,2435.333
Chile,CHL,2001,1889.301
Chile,CHL,2002,1883.858
Chile,CHL,2003,1782.403
Chile,CHL,2004,2043.303
Chile,CHL,2005,1981.753
Chile,CHL,2006,2448.163
Chile,CHL,2007,2874.835
Chile,CHL,2008,3041.464
Chile,CHL,2009,2751.22
Chile,CHL,2010,3061.047
Chile,CHL,2011,3886.976
Chile,CHL,2012,4488.355
Chile,CHL,2013,4996.039
Chile,CHL,2014,4986.656
Chile,CHL,2015,4733.331
Chile,CHL,2016,4737.232
Chile,CHL,2017,4855.854
Chile,CHL,2018,4621.762
Chile,CHL,2019,4595.002
Chile,CHL,2020,4366.447
China,CHN,1965,1837.435
China,CHN,1966,1917.409
China,CHN,1967,1659.292
China,CHN,1968,1601.792
China,CHN,1969,1881.685
China,CHN,1970,2331.619
China,CHN,1971,2621.33
China,CHN,1972,2706.111
China,CHN,1973,2679.915
China,CHN,1974,2596.212
China,CHN,1975,2869.894
China,CHN,1976,2888.733
China,CHN,1977,3127.225
China,CHN,1978,3383.235
China,CHN,1979,3450.56
China,CHN,1980,3538.706
China,CHN,1981,3471.519
China,CHN,1982,3623.566
China,CHN,1983,3826.638
China,CHN,1984,4099.778
China,CHN,1985,4403.417
China,CHN,1986,4521.794
China,CHN,1987,4813.429
China,CHN,1988,5072.607
China,CHN,1989,5220.243
China,CHN,1990,5212.514
China,CHN,1991,5393.116
China,CHN,1992,5578.387
China,CHN,1993,5883.051
China,CHN,1994,6212.642
China,CHN,1995,6234.773
China,CHN,1996,6467.851
China,CHN,1997,6285.217
China,CHN,1998,6188.547
China,CHN,1999,6319.895
China,CHN,2000,6362.72
China,CHN,2001,6647.344
China,CHN,2002,7241.71
China,CHN,2003,8578.299
China,CHN,2004,9942.894
China,CHN,2005,11576.039
China,CHN,2006,12640.681
China,CHN,2007,13687.973
China,CHN,2008,13827.096
China,CHN,2009,14403.51
China,CHN,2010,14859.829
China,CHN,2011,16085.623
China,CHN,2012,16197.189
China,CHN,2013,16452.77
China,CHN,2014,16374.014
China,CHN,2015,15980.731
China,CHN,2016,15757.176
China,CHN,2017,15753.075
China,CHN,2018,15781.556
China,CHN,2019,15845.612
China,CHN,2020,15877.543
Colombia,COL,1965,1250.87
Colombia,COL,1966,1214.894
Colombia,COL,1967,1295.643
Colombia,COL,1968,1147.963
Colombia,COL,1969,1193.408
Colombia,COL,1970,1214.434
Colombia,COL,1971,921.938
Colombia,COL,1972,936.094
Colombia,COL,1973,932.282
Colombia,COL,1974,1102.769
Colombia,COL,1975,1096.366
Colombia,COL,1976,1048.668
Colombia,COL,1977,1051.267
Colombia,COL,1978,1039.06
Colombia,COL,1979,1025.045
Colombia,COL,1980,1051.546
Colombia,COL,1981,1048.131
Colombia,COL,1982,1067.841
Colombia,COL,1983,1151.854
Colombia,COL,1984,1173.966
Colombia,COL,1985,1185.754
Colombia,COL,1986,1147.06
Colombia,COL,1987,1413.487
Colombia,COL,1988,1105.339
Colombia,COL,1989,1255.593
Colombia,COL,1990,561.347
Colombia,COL,1991,692.24
Colombia,COL,1992,1135.506
Colombia,COL,1993,1167.873
Colombia,COL,1994,1311.799
Colombia,COL,1995,1152.534
Colombia,COL,1996,877.676
Colombia,COL,1997,1021.653
Colombia,COL,1998,955.394
Colombia,COL,1999,750.576
Colombia,COL,2000,793.285
Colombia,COL,2001,769.04
Colombia,COL,2002,622.904
Colombia,COL,2003,680.381
Colombia,COL,2004,587.004
Colombia,COL,2005,364.905
Colombia,COL,2006,1026.138
Colombia,COL,2007,892.414
Colombia,COL,2008,1166.923
Colombia,COL,2009,1061.471
Colombia,COL,2010,1236.268
Colombia,COL,2011,991.322
Colombia,COL,2012,1184.146
Colombia,COL,2013,1262.274
Colombia,COL,2014,1323.611
Colombia,COL,2015,1215.892
Colombia,COL,2016,1319.087
Colombia,COL,2017,990.152
Colombia,COL,2018,915.458
Colombia,COL,2019,1123.115
Colombia,COL,2020,1463.777
Croatia,HRV,1990,1968.74
Croatia,HRV,1991,1110.738
Croatia,HRV,1992,981.927
Croatia,HRV,1993,840.793
Croatia,HRV,1994,530.764
Croatia,HRV,1995,440.237
Croatia,HRV,1996,363.765
Croatia,HRV,1997,624.198
Croatia,HRV,1998,602.163
Croatia,HRV,1999,538.32
Croatia,HRV,2000,1133.825
Croatia,HRV,2001,1267.895
Croatia,HRV,2002,1545.506
Croatia,HRV,2003,1721.587
Croatia,HRV,2004,1830.247
Croatia,HRV,2005,1816.132
Croatia,HRV,2006,1688.785
Croatia,HRV,2007,1836.97
Croatia,HRV,2008,1894.684
Croatia,HRV,2009,1357.482
Croatia,HRV,2010,1834.455
Croatia,HRV,2011,1894.848
Croatia,HRV,2012,1706.109
Croatia,HRV,2013,1836.055
Croatia,HRV,2014,1767.371
Croatia,HRV,2015,1664.229
Croatia,HRV,2016,1798.916
Croatia,HRV,2017,1090.847
Croatia,HRV,2018,1022.098
Croatia,HRV,2019,1186.347
Croatia,HRV,2020,989.075
Cyprus,CYP,1965,0
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,1537.019
Cyprus,CYP,1986,930.616
Cyprus,CYP,1987,1945.345
Cyprus,CYP,1988,1152.774
Cyprus,CYP,1989,1006.534
Cyprus,CYP,1990,925.405
Cyprus,CYP,1991,668.288
Cyprus,CYP,1992,1205.694
Cyprus,CYP,1993,994.321
Cyprus,CYP,1994,1333.742
Cyprus,CYP,1995,1454.786
Cyprus,CYP,1996,1331.539
Cyprus,CYP,1997,991.798
Cyprus,CYP,1998,179.177
Cyprus,CYP,1999,301.41
Cyprus,CYP,2000,443.852
Cyprus,CYP,2001,641.89
